Resultados ordenados - 2025-05-14 23:17:37
================================================================================

Resultados para n = 50:
----------------------------------------
c=10, Q=0.8, p=0.5, n=250, m/n=2.6, WalkSAT Success: 100.0%, Total Flips: 13250, Time: 5.91 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=2.7, WalkSAT Success: 100.0%, Total Flips: 17154, Time: 6.34 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=2.8, WalkSAT Success: 100.0%, Total Flips: 18881, Time: 6.62 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=2.9, WalkSAT Success: 98.0%, Total Flips: 38822, Time: 9.06 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=3.0, WalkSAT Success: 100.0%, Total Flips: 31638, Time: 8.33 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=3.1, WalkSAT Success: 98.0%, Total Flips: 46855, Time: 10.29 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=3.2, WalkSAT Success: 97.0%, Total Flips: 62821, Time: 12.85 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=3.3, WalkSAT Success: 96.0%, Total Flips: 80754, Time: 14.99 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=3.4, WalkSAT Success: 92.0%, Total Flips: 144448, Time: 24.71 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=3.5, WalkSAT Success: 93.0%, Total Flips: 136223, Time: 24.42 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=3.6, WalkSAT Success: 84.0%, Total Flips: 231404, Time: 39.04 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=3.7, WalkSAT Success: 67.0%, Total Flips: 352335, Time: 57.73 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=3.8, WalkSAT Success: 48.0%, Total Flips: 463704, Time: 71.66 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=3.9, WalkSAT Success: 41.0%, Total Flips: 512335, Time: 81.20 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=4.0, WalkSAT Success: 16.0%, Total Flips: 666138, Time: 107.51 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=4.1, WalkSAT Success: 8.0%, Total Flips: 705955, Time: 114.22 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=4.2, WalkSAT Success: 3.0%, Total Flips: 742266, Time: 126.37 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=4.3, WalkSAT Success: 4.0%, Total Flips: 741896, Time: 128.65 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=4.4, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 126.91 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=4.5, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 130.21 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=4.5, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=4.6, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=4.7, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=4.8, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=4.9, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=5.0, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=5.1, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=5.2, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=5.3, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=5.4, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds

Resultados para n = 500:
----------------------------------------
c=10, Q=0.8, p=0.5, n=500, m/n=2.5, WalkSAT Success: 100.0%, Total Flips: 25495, Time: 10.21 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=2.6, WalkSAT Success: 100.0%, Total Flips: 27630, Time: 10.24 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=2.7, WalkSAT Success: 100.0%, Total Flips: 34625, Time: 11.72 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=2.8, WalkSAT Success: 100.0%, Total Flips: 39888, Time: 13.54 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=2.9, WalkSAT Success: 100.0%, Total Flips: 48369, Time: 15.70 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=3.0, WalkSAT Success: 100.0%, Total Flips: 56560, Time: 17.66 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=3.1, WalkSAT Success: 100.0%, Total Flips: 69724, Time: 20.95 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=3.2, WalkSAT Success: 100.0%, Total Flips: 102353, Time: 27.52 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=3.3, WalkSAT Success: 100.0%, Total Flips: 135719, Time: 37.12 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=3.4, WalkSAT Success: 99.0%, Total Flips: 182785, Time: 48.50 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=3.5, WalkSAT Success: 95.0%, Total Flips: 273906, Time: 70.37 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=3.6, WalkSAT Success: 94.0%, Total Flips: 390045, Time: 104.32 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=3.7, WalkSAT Success: 79.0%, Total Flips: 624312, Time: 166.79 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=3.8, WalkSAT Success: 53.0%, Total Flips: 965230, Time: 258.91 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=3.9, WalkSAT Success: 27.0%, Total Flips: 1232054, Time: 330.96 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=4.0, WalkSAT Success: 9.0%, Total Flips: 1410256, Time: 387.24 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=4.1, WalkSAT Success: 6.0%, Total Flips: 1457012, Time: 407.26 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=4.2, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 425.58 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=4.3, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 433.04 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=4.3, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=4.4, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=4.5, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=4.6, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=4.7, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=4.8, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=4.9, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=5.0, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=5.1, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=5.2, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=5.3, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=500, m/n=5.4, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 0.00 seconds

Resultados para n = 1000:
----------------------------------------
c=10, Q=0.8, p=0.5, n=1000, m/n=2.5, WalkSAT Success: 100.0%, Total Flips: 49957, Time: 23.09 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=2.6, WalkSAT Success: 100.0%, Total Flips: 56683, Time: 26.03 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=2.7, WalkSAT Success: 100.0%, Total Flips: 65549, Time: 29.93 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=2.8, WalkSAT Success: 100.0%, Total Flips: 78369, Time: 44.53 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=2.9, WalkSAT Success: 100.0%, Total Flips: 97987, Time: 57.55 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=3.0, WalkSAT Success: 100.0%, Total Flips: 113764, Time: 70.12 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=3.1, WalkSAT Success: 100.0%, Total Flips: 144411, Time: 81.13 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=3.2, WalkSAT Success: 100.0%, Total Flips: 193676, Time: 95.15 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=3.3, WalkSAT Success: 100.0%, Total Flips: 242228, Time: 121.82 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=3.4, WalkSAT Success: 100.0%, Total Flips: 322099, Time: 165.88 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 511884, Time: 267.39 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=3.6, WalkSAT Success: 97.0%, Total Flips: 702271, Time: 432.06 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=3.7, WalkSAT Success: 75.0%, Total Flips: 1504041, Time: 852.75 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=3.8, WalkSAT Success: 34.0%, Total Flips: 2417366, Time: 1233.59 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=3.9, WalkSAT Success: 8.0%, Total Flips: 2880226, Time: 1480.78 seconds
