Resultados ordenados - 2025-06-04 23:35:14
================================================================================

Resultados para n = 50:
----------------------------------------
c=10, Q=0.8, p=0.5, n=100, m/n=4.0, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=4.1, WalkSAT Success: 54.0%, Total Flips: 183207, Time: 55.38 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.1, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=4.1, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=4.2, WalkSAT Success: 31.0%, Total Flips: 232481, Time: 64.24 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.2, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=4.2, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=4.3, WalkSAT Success: 26.0%, Total Flips: 249002, Time: 67.77 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.3, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=4.3, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=4.4, WalkSAT Success: 15.0%, Total Flips: 270611, Time: 76.09 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.4, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=4.4, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=4.5, WalkSAT Success: 11.0%, Total Flips: 278917, Time: 142.53 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.5, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=4.5, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=4.6, WalkSAT Success: 4.0%, Total Flips: 292674, Time: 149.84 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=4.6, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.6, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=4.6, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=4.7, WalkSAT Success: 2.0%, Total Flips: 295620, Time: 149.82 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=4.7, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.7, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=4.7, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=4.8, WalkSAT Success: 1.0%, Total Flips: 297564, Time: 152.97 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=4.8, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.8, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=4.8, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=4.9, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 156.50 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=4.9, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.9, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=4.9, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=5.0, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 157.55 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=5.0, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=5.0, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=5.0, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=5.1, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=5.1, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=5.1, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=5.1, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 159.31 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=5.2, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=5.2, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=5.2, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=5.2, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 163.27 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=5.3, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=5.3, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=5.3, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=5.3, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 162.15 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=5.4, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=5.4, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=5.4, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=5.4, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 164.37 seconds

Resultados para n = 250:
----------------------------------------
c=10, Q=0.5, p=0.5, n=250, m/n=2.6, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=2.6, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=2.7, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=2.7, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=2.8, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=2.9, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=2.9, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=3.0, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=3.0, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=3.1, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=3.1, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=3.2, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=3.2, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=3.3, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=3.3, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=250, m/n=3.4, WalkSAT Success: 100.0%, Total Flips: 67722, Time: 68.98 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=3.4, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=250, m/n=3.4, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=250, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 92222, Time: 99.20 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=3.5, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
