Resultados ordenados - 2025-06-06 09:59:25
================================================================================

Resultados para n = 50:
----------------------------------------
c=10, Q=0.5, p=0.5, n=100, m/n=2.9, WalkSAT Success: 100.0%, Total Flips: 10947, Time: 5.04 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.0, WalkSAT Success: 100.0%, Total Flips: 9651, Time: 4.91 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.1, WalkSAT Success: 100.0%, Total Flips: 11365, Time: 5.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.2, WalkSAT Success: 100.0%, Total Flips: 15724, Time: 5.33 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.3, WalkSAT Success: 99.0%, Total Flips: 23384, Time: 5.68 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.4, WalkSAT Success: 97.0%, Total Flips: 34256, Time: 6.01 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 31697, Time: 10.28 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.6, WalkSAT Success: 96.0%, Total Flips: 49357, Time: 11.23 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.7, WalkSAT Success: 89.0%, Total Flips: 75466, Time: 12.36 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.8, WalkSAT Success: 87.0%, Total Flips: 89668, Time: 14.37 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.9, WalkSAT Success: 72.0%, Total Flips: 129404, Time: 15.92 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.0, WalkSAT Success: 55.0%, Total Flips: 170626, Time: 18.85 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.1, WalkSAT Success: 43.0%, Total Flips: 203327, Time: 20.54 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.2, WalkSAT Success: 34.0%, Total Flips: 218224, Time: 21.64 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.3, WalkSAT Success: 17.0%, Total Flips: 264379, Time: 24.25 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.4, WalkSAT Success: 15.0%, Total Flips: 270950, Time: 24.72 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.5, WalkSAT Success: 6.0%, Total Flips: 285356, Time: 32.11 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.6, WalkSAT Success: 4.0%, Total Flips: 291181, Time: 33.87 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.7, WalkSAT Success: 5.0%, Total Flips: 288994, Time: 34.72 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.8, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 35.09 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.9, WalkSAT Success: 1.0%, Total Flips: 297214, Time: 35.47 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=5.0, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 36.36 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=5.1, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 36.39 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=5.2, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 36.37 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=5.3, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 37.23 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=5.4, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 37.51 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=5.5, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=5.6, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=5.7, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=5.8, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=5.9, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=6.0, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=6.1, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=6.2, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=6.3, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=6.4, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=6.5, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=6.6, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=6.7, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=6.8, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=6.9, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=7.0, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=7.1, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=7.2, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=7.3, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=7.4, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=7.5, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=7.6, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=7.7, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=7.8, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=7.9, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=8.0, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=8.1, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=8.2, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=8.3, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=8.4, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds

Resultados para n = 250:
----------------------------------------
c=10, Q=0.5, p=0.5, n=250, m/n=2.5, WalkSAT Success: 100.0%, Total Flips: 11619, Time: 7.47 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=2.6, WalkSAT Success: 100.0%, Total Flips: 13283, Time: 7.59 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=2.7, WalkSAT Success: 100.0%, Total Flips: 15114, Time: 8.02 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=2.8, WalkSAT Success: 100.0%, Total Flips: 18486, Time: 8.01 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=2.9, WalkSAT Success: 100.0%, Total Flips: 21636, Time: 8.69 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=3.0, WalkSAT Success: 100.0%, Total Flips: 26355, Time: 9.17 seconds
