Resultados ordenados - 2025-06-18 11:38:29
================================================================================

#################### n = 50 ####################

#################### Max Tries = 5 ####################

#################### Max Flips = 50 ####################
    n=50, m/n=2.5, max_tries=50, max_flips=50, Success Rate: 100.0%, Total Flips: 6790, Time: 4.74 seconds
    n=50, m/n=2.6, max_tries=50, max_flips=50, Success Rate: 99.0%, Total Flips: 12275, Time: 6.27 seconds
    n=50, m/n=2.7, max_tries=50, max_flips=50, Success Rate: 99.0%, Total Flips: 13053, Time: 7.11 seconds
    n=50, m/n=2.8, max_tries=50, max_flips=50, Success Rate: 95.0%, Total Flips: 27347, Time: 10.29 seconds
    n=50, m/n=2.9, max_tries=50, max_flips=50, Success Rate: 94.0%, Total Flips: 29565, Time: 10.51 seconds
    n=50, m/n=3.0, max_tries=50, max_flips=50, Success Rate: 88.0%, Total Flips: 47560, Time: 12.99 seconds
    n=50, m/n=3.1, max_tries=50, max_flips=50, Success Rate: 82.0%, Total Flips: 65243, Time: 14.97 seconds
    n=50, m/n=3.2, max_tries=50, max_flips=50, Success Rate: 81.0%, Total Flips: 69279, Time: 15.92 seconds
    n=50, m/n=3.3, max_tries=50, max_flips=50, Success Rate: 72.0%, Total Flips: 86108, Time: 16.43 seconds
    n=50, m/n=3.4, max_tries=50, max_flips=50, Success Rate: 63.0%, Total Flips: 111140, Time: 21.70 seconds
    n=50, m/n=3.5, max_tries=50, max_flips=50, Success Rate: 59.0%, Total Flips: 119511, Time: 25.32 seconds
    n=50, m/n=3.6, max_tries=50, max_flips=50, Success Rate: 42.0%, Total Flips: 161259, Time: 32.12 seconds
    n=50, m/n=3.7, max_tries=50, max_flips=50, Success Rate: 40.0%, Total Flips: 165714, Time: 32.86 seconds
    n=50, m/n=3.8, max_tries=50, max_flips=50, Success Rate: 27.0%, Total Flips: 191733, Time: 35.67 seconds
    n=50, m/n=3.9, max_tries=50, max_flips=50, Success Rate: 20.0%, Total Flips: 205903, Time: 37.44 seconds
    n=50, m/n=4.0, max_tries=50, max_flips=50, Success Rate: 23.0%, Total Flips: 202061, Time: 37.29 seconds
    n=50, m/n=4.1, max_tries=50, max_flips=50, Success Rate: 17.0%, Total Flips: 215728, Time: 39.81 seconds
    n=50, m/n=4.2, max_tries=50, max_flips=50, Success Rate: 7.0%, Total Flips: 236140, Time: 41.31 seconds
    n=50, m/n=4.3, max_tries=50, max_flips=50, Success Rate: 11.0%, Total Flips: 227944, Time: 40.89 seconds
    n=50, m/n=4.4, max_tries=50, max_flips=50, Success Rate: 7.0%, Total Flips: 235542, Time: 41.83 seconds
    n=50, m/n=4.5, max_tries=50, max_flips=50, Success Rate: 3.0%, Total Flips: 243525, Time: 47.29 seconds
    n=50, m/n=4.6, max_tries=50, max_flips=50, Success Rate: 2.0%, Total Flips: 245662, Time: 49.54 seconds
    n=50, m/n=4.7, max_tries=50, max_flips=50, Success Rate: 0.0%, Total Flips: 250000, Time: 49.68 seconds
    n=50, m/n=4.8, max_tries=50, max_flips=50, Success Rate: 1.0%, Total Flips: 247980, Time: 49.91 seconds
    n=50, m/n=4.9, max_tries=50, max_flips=50, Success Rate: 1.0%, Total Flips: 248060, Time: 51.50 seconds
    n=50, m/n=5.0, max_tries=50, max_flips=50, Success Rate: 3.0%, Total Flips: 244502, Time: 51.37 seconds
    n=50, m/n=5.1, max_tries=50, max_flips=50, Success Rate: 1.0%, Total Flips: 248229, Time: 52.23 seconds
    n=50, m/n=5.2, max_tries=50, max_flips=50, Success Rate: 1.0%, Total Flips: 248588, Time: 53.14 seconds
    n=50, m/n=5.3, max_tries=50, max_flips=50, Success Rate: 2.0%, Total Flips: 247050, Time: 53.17 seconds
    n=50, m/n=5.4, max_tries=50, max_flips=50, Success Rate: 0.0%, Total Flips: 250000, Time: 53.83 seconds

#################### Max Flips = 250 ####################
    n=50, m/n=1.5, max_tries=50, max_flips=250, Success Rate: 100.0%, Total Flips: 1218, Time: 3.45 seconds
    n=50, m/n=1.6, max_tries=50, max_flips=250, Success Rate: 100.0%, Total Flips: 1398, Time: 3.58 seconds
    n=50, m/n=1.7, max_tries=50, max_flips=250, Success Rate: 100.0%, Total Flips: 1487, Time: 3.86 seconds
    n=50, m/n=1.8, max_tries=50, max_flips=250, Success Rate: 100.0%, Total Flips: 2271, Time: 5.15 seconds
    n=50, m/n=1.9, max_tries=50, max_flips=250, Success Rate: 100.0%, Total Flips: 2222, Time: 5.06 seconds
    n=50, m/n=2.0, max_tries=50, max_flips=250, Success Rate: 100.0%, Total Flips: 2765, Time: 6.12 seconds
    n=50, m/n=2.1, max_tries=50, max_flips=250, Success Rate: 100.0%, Total Flips: 3246, Time: 6.54 seconds
    n=50, m/n=2.2, max_tries=50, max_flips=250, Success Rate: 100.0%, Total Flips: 4620, Time: 9.13 seconds
    n=50, m/n=2.3, max_tries=50, max_flips=250, Success Rate: 100.0%, Total Flips: 5201, Time: 9.82 seconds
    n=50, m/n=2.4, max_tries=50, max_flips=250, Success Rate: 99.0%, Total Flips: 18969, Time: 13.80 seconds
    n=50, m/n=2.5, max_tries=50, max_flips=250, Success Rate: 100.0%, Total Flips: 8499, Time: 18.10 seconds
    n=50, m/n=2.6, max_tries=50, max_flips=250, Success Rate: 98.0%, Total Flips: 35652, Time: 25.07 seconds
    n=50, m/n=2.7, max_tries=50, max_flips=250, Success Rate: 98.0%, Total Flips: 36461, Time: 25.24 seconds
    n=50, m/n=2.8, max_tries=50, max_flips=250, Success Rate: 97.0%, Total Flips: 54554, Time: 37.54 seconds
    n=50, m/n=2.9, max_tries=50, max_flips=250, Success Rate: 93.0%, Total Flips: 104264, Time: 40.90 seconds
    n=50, m/n=3.0, max_tries=50, max_flips=250, Success Rate: 86.0%, Total Flips: 192570, Time: 50.84 seconds
    n=50, m/n=3.1, max_tries=50, max_flips=250, Success Rate: 79.0%, Total Flips: 277169, Time: 53.23 seconds
    n=50, m/n=3.2, max_tries=50, max_flips=250, Success Rate: 81.0%, Total Flips: 257450, Time: 61.34 seconds
    n=50, m/n=3.3, max_tries=50, max_flips=250, Success Rate: 67.0%, Total Flips: 433102, Time: 76.23 seconds
    n=50, m/n=3.4, max_tries=50, max_flips=250, Success Rate: 65.0%, Total Flips: 454049, Time: 74.91 seconds
    n=50, m/n=3.5, max_tries=50, max_flips=250, Success Rate: 56.0%, Total Flips: 566574, Time: 111.56 seconds
    n=50, m/n=3.6, max_tries=50, max_flips=250, Success Rate: 44.0%, Total Flips: 714549, Time: 124.39 seconds
    n=50, m/n=3.7, max_tries=50, max_flips=250, Success Rate: 34.0%, Total Flips: 836397, Time: 136.95 seconds
    n=50, m/n=3.8, max_tries=50, max_flips=250, Success Rate: 31.0%, Total Flips: 873367, Time: 141.90 seconds
    n=50, m/n=3.9, max_tries=50, max_flips=250, Success Rate: 18.0%, Total Flips: 1031685, Time: 153.73 seconds
    n=50, m/n=4.0, max_tries=50, max_flips=250, Success Rate: 17.0%, Total Flips: 1043242, Time: 156.28 seconds
    n=50, m/n=4.1, max_tries=50, max_flips=250, Success Rate: 12.0%, Total Flips: 1106370, Time: 164.96 seconds
    n=50, m/n=4.2, max_tries=50, max_flips=250, Success Rate: 9.0%, Total Flips: 1141241, Time: 169.30 seconds
    n=50, m/n=4.3, max_tries=50, max_flips=250, Success Rate: 14.0%, Total Flips: 1081636, Time: 178.17 seconds
    n=50, m/n=4.4, max_tries=50, max_flips=250, Success Rate: 6.0%, Total Flips: 1176902, Time: 598.39 seconds
    n=50, m/n=4.5, max_tries=50, max_flips=250, Success Rate: 7.0%, Total Flips: 1164649, Time: 642.44 seconds
    n=50, m/n=4.6, max_tries=50, max_flips=250, Success Rate: 1.0%, Total Flips: 1237950, Time: 145.42 seconds
    n=50, m/n=4.7, max_tries=50, max_flips=250, Success Rate: 4.0%, Total Flips: 1200762, Time: 644.98 seconds
    n=50, m/n=4.8, max_tries=50, max_flips=250, Success Rate: 2.0%, Total Flips: 1225417, Time: 164.56 seconds
    n=50, m/n=4.9, max_tries=50, max_flips=250, Success Rate: 0.0%, Total Flips: 1250000, Time: 673.55 seconds
    n=50, m/n=5.0, max_tries=50, max_flips=250, Success Rate: 3.0%, Total Flips: 1213470, Time: 680.71 seconds
    n=50, m/n=5.1, max_tries=50, max_flips=250, Success Rate: 0.0%, Total Flips: 1250000, Time: 701.99 seconds
    n=50, m/n=5.2, max_tries=50, max_flips=250, Success Rate: 0.0%, Total Flips: 1250000, Time: 718.97 seconds
    n=50, m/n=5.3, max_tries=50, max_flips=250, Success Rate: 0.0%, Total Flips: 1250000, Time: 710.32 seconds
    n=50, m/n=5.4, max_tries=50, max_flips=250, Success Rate: 0.0%, Total Flips: 1250000, Time: 732.62 seconds

#################### Max Flips = 1000 ####################
    n=50, m/n=1.5, max_tries=50, max_flips=1000, Success Rate: 100.0%, Total Flips: 1429, Time: 7.76 seconds
    n=50, m/n=1.6, max_tries=50, max_flips=1000, Success Rate: 100.0%, Total Flips: 1274, Time: 6.56 seconds
    n=50, m/n=1.7, max_tries=50, max_flips=1000, Success Rate: 100.0%, Total Flips: 1577, Time: 9.02 seconds
    n=50, m/n=1.8, max_tries=50, max_flips=1000, Success Rate: 100.0%, Total Flips: 2066, Time: 12.85 seconds
    n=50, m/n=1.9, max_tries=50, max_flips=1000, Success Rate: 100.0%, Total Flips: 2386, Time: 15.22 seconds
    n=50, m/n=2.0, max_tries=50, max_flips=1000, Success Rate: 100.0%, Total Flips: 2931, Time: 16.66 seconds
    n=50, m/n=2.1, max_tries=50, max_flips=1000, Success Rate: 100.0%, Total Flips: 3470, Time: 20.19 seconds
    n=50, m/n=2.2, max_tries=50, max_flips=1000, Success Rate: 100.0%, Total Flips: 3645, Time: 22.30 seconds
    n=50, m/n=2.3, max_tries=50, max_flips=1000, Success Rate: 100.0%, Total Flips: 5330, Time: 32.48 seconds
    n=50, m/n=2.4, max_tries=50, max_flips=1000, Success Rate: 100.0%, Total Flips: 7172, Time: 43.29 seconds
    n=50, m/n=2.5, max_tries=50, max_flips=1000, Success Rate: 100.0%, Total Flips: 7320, Time: 58.48 seconds
    n=50, m/n=2.6, max_tries=50, max_flips=1000, Success Rate: 99.0%, Total Flips: 60006, Time: 79.88 seconds
    n=50, m/n=2.7, max_tries=50, max_flips=1000, Success Rate: 100.0%, Total Flips: 12514, Time: 91.17 seconds
    n=50, m/n=2.8, max_tries=50, max_flips=1000, Success Rate: 97.0%, Total Flips: 166605, Time: 130.92 seconds
    n=50, m/n=2.9, max_tries=50, max_flips=1000, Success Rate: 93.0%, Total Flips: 366336, Time: 147.72 seconds
