n=50, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 3542, Time: 1.61 seconds
n=50, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 3834, Time: 2.26 seconds
n=50, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 4282, Time: 1.76 seconds
n=50, m/n=3.8, WalkSAT Success: 100.0%, Total Flips: 4733, Time: 1.52 seconds
n=50, m/n=3.9, WalkSAT Success: 100.0%, Total Flips: 5273, Time: 1.41 seconds
n=50, m/n=4.0, WalkSAT Success: 100.0%, Total Flips: 6542, Time: 1.53 seconds
n=50, m/n=4.1, WalkSAT Success: 99.0%, Total Flips: 8445, Time: 1.68 seconds
n=50, m/n=4.2, WalkSAT Success: 100.0%, Total Flips: 8236, Time: 1.62 seconds
n=50, m/n=4.3, WalkSAT Success: 99.0%, Total Flips: 10784, Time: 1.67 seconds
n=50, m/n=4.4, WalkSAT Success: 96.0%, Total Flips: 12797, Time: 1.78 seconds
n=50, m/n=4.5, WalkSAT Success: 91.0%, Total Flips: 18376, Time: 1.78 seconds
n=50, m/n=4.6, WalkSAT Success: 85.0%, Total Flips: 20963, Time: 1.94 seconds
n=50, m/n=4.7, WalkSAT Success: 86.0%, Total Flips: 19726, Time: 1.91 seconds
n=50, m/n=4.8, WalkSAT Success: 73.0%, Total Flips: 27610, Time: 2.12 seconds
n=50, m/n=4.9, WalkSAT Success: 70.0%, Total Flips: 29656, Time: 2.23 seconds
n=50, m/n=5.0, WalkSAT Success: 52.0%, Total Flips: 35867, Time: 2.33 seconds
n=50, m/n=5.1, WalkSAT Success: 46.0%, Total Flips: 37130, Time: 2.76 seconds
n=50, m/n=5.2, WalkSAT Success: 42.0%, Total Flips: 38249, Time: 2.98 seconds
n=50, m/n=5.3, WalkSAT Success: 28.999999999999996%, Total Flips: 40970, Time: 2.93 seconds
n=50, m/n=5.4, WalkSAT Success: 28.999999999999996%, Total Flips: 41104, Time: 2.34 seconds
n=100, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 7347, Time: 1.67 seconds
n=100, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 8572, Time: 1.67 seconds
n=100, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 8712, Time: 1.94 seconds
n=100, m/n=3.8, WalkSAT Success: 100.0%, Total Flips: 11484, Time: 1.84 seconds
n=100, m/n=3.9, WalkSAT Success: 100.0%, Total Flips: 13005, Time: 1.85 seconds
n=100, m/n=4.0, WalkSAT Success: 100.0%, Total Flips: 15699, Time: 1.98 seconds
n=100, m/n=4.1, WalkSAT Success: 100.0%, Total Flips: 18458, Time: 2.10 seconds
n=100, m/n=4.2, WalkSAT Success: 100.0%, Total Flips: 22624, Time: 2.40 seconds
n=100, m/n=4.3, WalkSAT Success: 91.0%, Total Flips: 35044, Time: 2.72 seconds
n=100, m/n=4.4, WalkSAT Success: 81.0%, Total Flips: 47882, Time: 3.43 seconds
n=100, m/n=4.5, WalkSAT Success: 85.0%, Total Flips: 44184, Time: 3.56 seconds
n=100, m/n=4.6, WalkSAT Success: 71.0%, Total Flips: 57391, Time: 4.21 seconds
n=100, m/n=4.7, WalkSAT Success: 50.0%, Total Flips: 66824, Time: 3.83 seconds
n=100, m/n=4.8, WalkSAT Success: 32.0%, Total Flips: 82640, Time: 4.66 seconds
