Resultados ordenados - 2025-06-15 13:17:56
================================================================================

#################### n = 50 ####################

#################### Max Tries = 1 ####################

#################### Max Flips = 50 ####################
    p=0.5, n=50, m/n=2.6, max_tries=1, max_flips=1000, Success Rate: 100.0%, Total Flips: 2255, Time: 1.88 seconds
    p=0.5, n=50, m/n=2.7, max_tries=1, max_flips=1000, Success Rate: 100.0%, Total Flips: 3095, Time: 1.95 seconds
    p=0.5, n=50, m/n=2.8, max_tries=1, max_flips=1000, Success Rate: 100.0%, Total Flips: 3324, Time: 1.95 seconds
    p=0.5, n=50, m/n=2.9, max_tries=1, max_flips=1000, Success Rate: 100.0%, Total Flips: 3911, Time: 1.99 seconds
    p=0.5, n=50, m/n=3.0, max_tries=1, max_flips=1000, Success Rate: 100.0%, Total Flips: 4008, Time: 2.05 seconds
    p=0.5, n=50, m/n=3.1, max_tries=1, max_flips=1000, Success Rate: 100.0%, Total Flips: 5156, Time: 2.06 seconds
    p=0.5, n=50, m/n=3.2, max_tries=1, max_flips=1000, Success Rate: 100.0%, Total Flips: 8489, Time: 2.23 seconds
    p=0.5, n=50, m/n=3.3, max_tries=1, max_flips=1000, Success Rate: 100.0%, Total Flips: 8812, Time: 2.21 seconds
    p=0.5, n=50, m/n=3.4, max_tries=1, max_flips=1000, Success Rate: 98.0%, Total Flips: 12149, Time: 2.86 seconds
    p=0.5, n=50, m/n=3.5, max_tries=1, max_flips=1000, Success Rate: 96.0%, Total Flips: 16989, Time: 2.82 seconds
    p=0.5, n=50, m/n=3.6, max_tries=1, max_flips=1000, Success Rate: 99.0%, Total Flips: 15136, Time: 2.68 seconds
    p=0.5, n=50, m/n=3.7, max_tries=1, max_flips=1000, Success Rate: 91.0%, Total Flips: 24486, Time: 4.62 seconds
    p=0.5, n=50, m/n=3.8, max_tries=1, max_flips=1000, Success Rate: 86.0%, Total Flips: 33437, Time: 6.50 seconds
    p=0.5, n=50, m/n=3.9, max_tries=1, max_flips=1000, Success Rate: 85.0%, Total Flips: 35391, Time: 6.62 seconds
    p=0.5, n=50, m/n=4.0, max_tries=1, max_flips=1000, Success Rate: 75.0%, Total Flips: 46862, Time: 8.96 seconds
    p=0.5, n=50, m/n=4.1, max_tries=1, max_flips=1000, Success Rate: 69.0%, Total Flips: 51898, Time: 9.47 seconds
    p=0.5, n=50, m/n=4.2, max_tries=1, max_flips=1000, Success Rate: 54.0%, Total Flips: 60851, Time: 11.70 seconds
    p=0.5, n=50, m/n=4.3, max_tries=1, max_flips=1000, Success Rate: 48.0%, Total Flips: 69156, Time: 12.94 seconds
    p=0.5, n=50, m/n=4.4, max_tries=1, max_flips=1000, Success Rate: 27.0%, Total Flips: 79951, Time: 15.37 seconds
    p=0.5, n=50, m/n=4.5, max_tries=1, max_flips=1000, Success Rate: 33.0%, Total Flips: 74651, Time: 14.29 seconds
    p=0.5, n=50, m/n=4.6, max_tries=1, max_flips=1000, Success Rate: 23.0%, Total Flips: 82763, Time: 16.00 seconds
    p=0.5, n=50, m/n=4.7, max_tries=1, max_flips=1000, Success Rate: 14.0%, Total Flips: 90178, Time: 17.53 seconds
    p=0.5, n=50, m/n=4.8, max_tries=1, max_flips=1000, Success Rate: 12.0%, Total Flips: 90292, Time: 17.88 seconds
    p=0.5, n=50, m/n=4.9, max_tries=1, max_flips=1000, Success Rate: 8.0%, Total Flips: 94020, Time: 18.97 seconds
    p=0.5, n=50, m/n=5.0, max_tries=1, max_flips=1000, Success Rate: 4.0%, Total Flips: 96729, Time: 23.62 seconds
    p=0.5, n=50, m/n=5.1, max_tries=1, max_flips=1000, Success Rate: 4.0%, Total Flips: 96924, Time: 23.33 seconds
    p=0.5, n=50, m/n=5.2, max_tries=1, max_flips=1000, Success Rate: 0.0%, Total Flips: 100000, Time: 24.55 seconds
    p=0.5, n=50, m/n=5.3, max_tries=1, max_flips=1000, Success Rate: 2.0%, Total Flips: 98526, Time: 24.99 seconds
    p=0.5, n=50, m/n=5.4, max_tries=1, max_flips=1000, Success Rate: 0.0%, Total Flips: 100000, Time: 26.33 seconds

#################### Max Tries = 3 ####################

#################### Max Flips = 50 ####################
    p=0.5, n=50, m/n=2.5, max_tries=3, max_flips=50, Success Rate: 100.0%, Total Flips: 2301, Time: 1.88 seconds
    p=0.5, n=50, m/n=2.6, max_tries=3, max_flips=50, Success Rate: 100.0%, Total Flips: 2335, Time: 1.91 seconds
    p=0.5, n=50, m/n=2.7, max_tries=3, max_flips=50, Success Rate: 99.0%, Total Flips: 2817, Time: 1.92 seconds
    p=0.5, n=50, m/n=2.8, max_tries=3, max_flips=50, Success Rate: 99.0%, Total Flips: 2980, Time: 1.93 seconds
    p=0.5, n=50, m/n=2.9, max_tries=3, max_flips=50, Success Rate: 98.0%, Total Flips: 3637, Time: 1.96 seconds
    p=0.5, n=50, m/n=3.0, max_tries=3, max_flips=50, Success Rate: 93.0%, Total Flips: 4130, Time: 2.02 seconds
    p=0.5, n=50, m/n=3.1, max_tries=3, max_flips=50, Success Rate: 96.0%, Total Flips: 4291, Time: 2.05 seconds
    p=0.5, n=50, m/n=3.2, max_tries=3, max_flips=50, Success Rate: 91.0%, Total Flips: 5248, Time: 2.09 seconds
    p=0.5, n=50, m/n=3.3, max_tries=3, max_flips=50, Success Rate: 74.0%, Total Flips: 7535, Time: 2.23 seconds
    p=0.5, n=50, m/n=3.4, max_tries=3, max_flips=50, Success Rate: 79.0%, Total Flips: 7000, Time: 2.21 seconds
    p=0.5, n=50, m/n=3.5, max_tries=3, max_flips=50, Success Rate: 58.0%, Total Flips: 9179, Time: 2.33 seconds
    p=0.5, n=50, m/n=3.6, max_tries=3, max_flips=50, Success Rate: 52.0%, Total Flips: 10289, Time: 2.39 seconds
    p=0.5, n=50, m/n=3.7, max_tries=3, max_flips=50, Success Rate: 44.0%, Total Flips: 10808, Time: 2.45 seconds
    p=0.5, n=50, m/n=3.8, max_tries=3, max_flips=50, Success Rate: 38.0%, Total Flips: 11394, Time: 2.48 seconds
    p=0.5, n=50, m/n=3.9, max_tries=3, max_flips=50, Success Rate: 25.0%, Total Flips: 12554, Time: 2.55 seconds
    p=0.5, n=50, m/n=4.0, max_tries=3, max_flips=50, Success Rate: 26.0%, Total Flips: 13178, Time: 2.57 seconds
    p=0.5, n=50, m/n=4.1, max_tries=3, max_flips=50, Success Rate: 21.0%, Total Flips: 13496, Time: 2.63 seconds
    p=0.5, n=50, m/n=4.2, max_tries=3, max_flips=50, Success Rate: 19.0%, Total Flips: 13334, Time: 2.61 seconds
    p=0.5, n=50, m/n=4.3, max_tries=3, max_flips=50, Success Rate: 16.0%, Total Flips: 13587, Time: 2.66 seconds
    p=0.5, n=50, m/n=4.4, max_tries=3, max_flips=50, Success Rate: 9.0%, Total Flips: 14307, Time: 2.73 seconds
    p=0.5, n=50, m/n=4.5, max_tries=3, max_flips=50, Success Rate: 5.0%, Total Flips: 14769, Time: 2.25 seconds
    p=0.5, n=50, m/n=4.6, max_tries=3, max_flips=50, Success Rate: 3.0%, Total Flips: 14841, Time: 2.29 seconds
    p=0.5, n=50, m/n=4.7, max_tries=3, max_flips=50, Success Rate: 3.0%, Total Flips: 14867, Time: 2.30 seconds
    p=0.5, n=50, m/n=4.8, max_tries=3, max_flips=50, Success Rate: 0.0%, Total Flips: 15000, Time: 2.41 seconds
    p=0.5, n=50, m/n=4.9, max_tries=3, max_flips=50, Success Rate: 1.0%, Total Flips: 14955, Time: 2.29 seconds
    p=0.5, n=50, m/n=5.0, max_tries=3, max_flips=50, Success Rate: 4.0%, Total Flips: 14653, Time: 3.33 seconds
    p=0.5, n=50, m/n=5.1, max_tries=3, max_flips=50, Success Rate: 0.0%, Total Flips: 15000, Time: 3.40 seconds
    p=0.5, n=50, m/n=5.2, max_tries=3, max_flips=50, Success Rate: 0.0%, Total Flips: 15000, Time: 3.39 seconds
    p=0.5, n=50, m/n=5.3, max_tries=3, max_flips=50, Success Rate: 0.0%, Total Flips: 15000, Time: 3.39 seconds
    p=0.5, n=50, m/n=5.4, max_tries=3, max_flips=50, Success Rate: 0.0%, Total Flips: 15000, Time: 3.55 seconds

#################### Max Flips = 500 ####################
    p=0.5, n=50, m/n=2.5, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 2253, Time: 1.83 seconds
    p=0.5, n=50, m/n=2.6, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 2615, Time: 1.86 seconds
    p=0.5, n=50, m/n=2.7, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 3284, Time: 1.90 seconds
    p=0.5, n=50, m/n=2.8, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 3787, Time: 1.90 seconds
    p=0.5, n=50, m/n=2.9, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 4088, Time: 1.93 seconds
    p=0.5, n=50, m/n=3.0, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 5055, Time: 1.97 seconds
    p=0.5, n=50, m/n=3.1, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 4938, Time: 2.03 seconds
    p=0.5, n=50, m/n=3.2, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 6359, Time: 2.06 seconds
    p=0.5, n=50, m/n=3.3, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 8207, Time: 2.09 seconds
    p=0.5, n=50, m/n=3.4, max_tries=3, max_flips=500, Success Rate: 99.0%, Total Flips: 10871, Time: 2.71 seconds
    p=0.5, n=50, m/n=3.5, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 13549, Time: 3.47 seconds
    p=0.5, n=50, m/n=3.6, max_tries=3, max_flips=500, Success Rate: 97.0%, Total Flips: 15151, Time: 3.62 seconds
    p=0.5, n=50, m/n=3.7, max_tries=3, max_flips=500, Success Rate: 95.0%, Total Flips: 22690, Time: 5.66 seconds
    p=0.5, n=50, m/n=3.8, max_tries=3, max_flips=500, Success Rate: 93.0%, Total Flips: 27045, Time: 7.46 seconds
    p=0.5, n=50, m/n=3.9, max_tries=3, max_flips=500, Success Rate: 83.0%, Total Flips: 42991, Time: 10.62 seconds
    p=0.5, n=50, m/n=4.0, max_tries=3, max_flips=500, Success Rate: 77.0%, Total Flips: 53579, Time: 14.68 seconds
    p=0.5, n=50, m/n=4.1, max_tries=3, max_flips=500, Success Rate: 60.0%, Total Flips: 73918, Time: 18.11 seconds
    p=0.5, n=50, m/n=4.2, max_tries=3, max_flips=500, Success Rate: 51.0%, Total Flips: 85151, Time: 18.86 seconds
    p=0.5, n=50, m/n=4.3, max_tries=3, max_flips=500, Success Rate: 47.0%, Total Flips: 95079, Time: 21.50 seconds
    p=0.5, n=50, m/n=4.4, max_tries=3, max_flips=500, Success Rate: 46.0%, Total Flips: 95632, Time: 21.66 seconds
    p=0.5, n=50, m/n=4.5, max_tries=3, max_flips=500, Success Rate: 22.0%, Total Flips: 122517, Time: 27.32 seconds
    p=0.5, n=50, m/n=4.6, max_tries=3, max_flips=500, Success Rate: 17.0%, Total Flips: 129516, Time: 28.26 seconds
    p=0.5, n=50, m/n=4.7, max_tries=3, max_flips=500, Success Rate: 16.0%, Total Flips: 128902, Time: 28.99 seconds
    p=0.5, n=50, m/n=4.8, max_tries=3, max_flips=500, Success Rate: 10.0%, Total Flips: 136770, Time: 31.26 seconds
    p=0.5, n=50, m/n=4.9, max_tries=3, max_flips=500, Success Rate: 11.0%, Total Flips: 137838, Time: 31.58 seconds
    p=0.5, n=50, m/n=5.0, max_tries=3, max_flips=500, Success Rate: 10.0%, Total Flips: 138072, Time: 68.59 seconds
    p=0.5, n=50, m/n=5.1, max_tries=3, max_flips=500, Success Rate: 2.0%, Total Flips: 147218, Time: 77.22 seconds
    p=0.5, n=50, m/n=5.2, max_tries=3, max_flips=500, Success Rate: 3.0%, Total Flips: 146404, Time: 74.87 seconds
    p=0.5, n=50, m/n=5.3, max_tries=3, max_flips=500, Success Rate: 1.0%, Total Flips: 148609, Time: 77.49 seconds
    p=0.5, n=50, m/n=5.4, max_tries=3, max_flips=500, Success Rate: 1.0%, Total Flips: 148569, Time: 77.94 seconds

#################### Max Flips = 1000 ####################
    p=0.5, n=50, m/n=2.5, max_tries=3, max_flips=1000, Success Rate: 100.0%, Total Flips: 2183, Time: 1.85 seconds
    p=0.5, n=50, m/n=2.6, max_tries=3, max_flips=1000, Success Rate: 100.0%, Total Flips: 2865, Time: 1.88 seconds
    p=0.5, n=50, m/n=2.7, max_tries=3, max_flips=1000, Success Rate: 100.0%, Total Flips: 2736, Time: 1.93 seconds
    p=0.5, n=50, m/n=2.8, max_tries=3, max_flips=1000, Success Rate: 100.0%, Total Flips: 3959, Time: 1.97 seconds
    p=0.5, n=50, m/n=2.9, max_tries=3, max_flips=1000, Success Rate: 100.0%, Total Flips: 4187, Time: 1.99 seconds
    p=0.5, n=50, m/n=3.0, max_tries=3, max_flips=1000, Success Rate: 100.0%, Total Flips: 4638, Time: 1.96 seconds
    p=0.5, n=50, m/n=3.1, max_tries=3, max_flips=1000, Success Rate: 100.0%, Total Flips: 5252, Time: 2.04 seconds
    p=0.5, n=50, m/n=3.2, max_tries=3, max_flips=1000, Success Rate: 100.0%, Total Flips: 7125, Time: 2.06 seconds
    p=0.5, n=50, m/n=3.3, max_tries=3, max_flips=1000, Success Rate: 100.0%, Total Flips: 8826, Time: 2.23 seconds
    p=0.5, n=50, m/n=3.4, max_tries=3, max_flips=1000, Success Rate: 100.0%, Total Flips: 10353, Time: 2.75 seconds
    p=0.5, n=50, m/n=3.5, max_tries=3, max_flips=1000, Success Rate: 99.0%, Total Flips: 13840, Time: 4.23 seconds
    p=0.5, n=50, m/n=3.6, max_tries=3, max_flips=1000, Success Rate: 98.0%, Total Flips: 25565, Time: 6.88 seconds
    p=0.5, n=50, m/n=3.7, max_tries=3, max_flips=1000, Success Rate: 96.0%, Total Flips: 29825, Time: 8.30 seconds
    p=0.5, n=50, m/n=3.8, max_tries=3, max_flips=1000, Success Rate: 95.0%, Total Flips: 42277, Time: 12.97 seconds
    p=0.5, n=50, m/n=3.9, max_tries=3, max_flips=1000, Success Rate: 86.0%, Total Flips: 65717, Time: 19.17 seconds
    p=0.5, n=50, m/n=4.0, max_tries=3, max_flips=1000, Success Rate: 80.0%, Total Flips: 90950, Time: 25.75 seconds
    p=0.5, n=50, m/n=4.1, max_tries=3, max_flips=1000, Success Rate: 70.0%, Total Flips: 118758, Time: 31.67 seconds
    p=0.5, n=50, m/n=4.2, max_tries=3, max_flips=1000, Success Rate: 58.0%, Total Flips: 140384, Time: 35.43 seconds
    p=0.5, n=50, m/n=4.3, max_tries=3, max_flips=1000, Success Rate: 52.0%, Total Flips: 164396, Time: 40.23 seconds
    p=0.5, n=50, m/n=4.4, max_tries=3, max_flips=1000, Success Rate: 47.0%, Total Flips: 177862, Time: 44.80 seconds
