Resultados ordenados - 2025-06-29 11:26:45
================================================================================

#################### n = 100 ####################

#################### Max Flips = 100.0 ####################
    c=20, Q=0.8, p=0.5, n=500, m/n=3.6, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 37.39 seconds
    c=20, Q=0.8, p=0.5, n=500, m/n=3.7, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 37.17 seconds
    c=20, Q=0.8, p=0.5, n=500, m/n=3.8, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 38.29 seconds
    c=20, Q=0.8, p=0.5, n=500, m/n=3.9, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 39.54 seconds
    c=20, Q=0.8, p=0.5, n=500, m/n=4.0, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 40.57 seconds
    c=20, Q=0.8, p=0.5, n=500, m/n=4.1, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 41.18 seconds
    c=20, Q=0.8, p=0.5, n=500, m/n=4.2, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 41.89 seconds
    c=20, Q=0.8, p=0.5, n=500, m/n=4.3, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 43.82 seconds
    c=20, Q=0.8, p=0.5, n=500, m/n=4.4, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 44.63 seconds
    c=20, Q=0.8, p=0.5, n=500, m/n=4.5, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 0.00 seconds
    c=20, Q=0.8, p=0.5, n=500, m/n=4.6, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 0.00 seconds
    c=20, Q=0.8, p=0.5, n=500, m/n=4.7, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 0.00 seconds
    c=20, Q=0.8, p=0.5, n=500, m/n=4.8, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 0.00 seconds
    c=20, Q=0.8, p=0.5, n=500, m/n=4.9, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 0.00 seconds
    c=20, Q=0.8, p=0.5, n=500, m/n=5.0, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 0.00 seconds
    c=20, Q=0.8, p=0.5, n=500, m/n=5.1, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 0.00 seconds
    c=20, Q=0.8, p=0.5, n=500, m/n=5.2, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 0.00 seconds
    c=20, Q=0.8, p=0.5, n=500, m/n=5.3, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 0.00 seconds
    c=20, Q=0.8, p=0.5, n=500, m/n=5.4, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 0.00 seconds

#################### n = 1000 ####################

#################### Max Flips = 1000.0 ####################
    c=20, Q=0.8, p=0.5, n=1000, m/n=2.5, max_tries=3, max_flips=1000, Success Rate: 100.0%, Total Flips: 50464, Time: 20.16 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=2.6, max_tries=3, max_flips=1000, Success Rate: 100.0%, Total Flips: 55673, Time: 22.32 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=2.7, max_tries=3, max_flips=1000, Success Rate: 100.0%, Total Flips: 67401, Time: 25.49 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=2.8, max_tries=3, max_flips=1000, Success Rate: 100.0%, Total Flips: 82555, Time: 34.34 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=2.9, max_tries=3, max_flips=1000, Success Rate: 94.0%, Total Flips: 132385, Time: 54.89 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=3.0, max_tries=3, max_flips=1000, Success Rate: 80.0%, Total Flips: 171695, Time: 68.23 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=3.1, max_tries=3, max_flips=1000, Success Rate: 29.0%, Total Flips: 266203, Time: 100.73 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=3.2, max_tries=3, max_flips=1000, Success Rate: 13.0%, Total Flips: 280734, Time: 109.90 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=3.3, max_tries=3, max_flips=1000, Success Rate: 2.0%, Total Flips: 298629, Time: 116.47 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=3.4, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 114.24 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=3.5, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 126.84 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=3.6, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 139.59 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=3.7, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 133.78 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=3.8, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 142.17 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=3.9, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 138.21 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=4.0, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 141.10 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=4.1, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 156.09 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=4.2, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 170.46 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=4.3, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 156.65 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=4.4, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 154.63 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=4.5, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 0.00 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=4.6, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 0.00 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=4.7, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 0.00 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=4.8, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 0.00 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=4.9, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 0.00 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=5.0, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 0.00 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=5.1, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 0.00 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=5.2, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 0.00 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=5.3, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 0.00 seconds
    c=20, Q=0.8, p=0.5, n=1000, m/n=5.4, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 0.00 seconds

================================================================================
Fin de resultados
