Resultados ordenados - 2025-06-20 08:26:37
================================================================================

#################### n = 50 ####################

#################### Max Tries = 1 ####################

#################### Max Flips = 50.0 ####################
    c=10, Q=0.8, p=0.5, n=50, m/n=4.8, max_tries=1, max_flips=500, Success Rate: 2.0%, Total Flips: 49159, Time: 6.74 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.9, max_tries=1, max_flips=500, Success Rate: 1.0%, Total Flips: 49652, Time: 6.95 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=5.0, max_tries=1, max_flips=500, Success Rate: 1.0%, Total Flips: 49551, Time: 6.87 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=5.1, max_tries=1, max_flips=500, Success Rate: 3.0%, Total Flips: 48613, Time: 6.84 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=5.2, max_tries=1, max_flips=500, Success Rate: 2.0%, Total Flips: 49092, Time: 6.90 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=5.3, max_tries=1, max_flips=500, Success Rate: 0.0%, Total Flips: 50000, Time: 7.01 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=5.4, max_tries=1, max_flips=500, Success Rate: 0.0%, Total Flips: 50000, Time: 7.17 seconds

#################### Max Flips = 1000.0 ####################
    c=10, Q=0.8, p=0.5, n=50, m/n=2.5, max_tries=1, max_flips=1000, Success Rate: 93.0%, Total Flips: 8858, Time: 4.00 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.6, max_tries=1, max_flips=1000, Success Rate: 92.0%, Total Flips: 10322, Time: 3.98 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.7, max_tries=1, max_flips=1000, Success Rate: 90.0%, Total Flips: 12412, Time: 4.19 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.8, max_tries=1, max_flips=1000, Success Rate: 88.0%, Total Flips: 14342, Time: 4.22 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.9, max_tries=1, max_flips=1000, Success Rate: 89.0%, Total Flips: 13653, Time: 4.22 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.0, max_tries=1, max_flips=1000, Success Rate: 85.0%, Total Flips: 19510, Time: 4.46 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.1, max_tries=1, max_flips=1000, Success Rate: 76.0%, Total Flips: 27528, Time: 4.75 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.2, max_tries=1, max_flips=1000, Success Rate: 65.0%, Total Flips: 38272, Time: 5.17 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.3, max_tries=1, max_flips=1000, Success Rate: 64.0%, Total Flips: 40075, Time: 5.41 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.4, max_tries=1, max_flips=1000, Success Rate: 53.0%, Total Flips: 50492, Time: 6.39 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.5, max_tries=1, max_flips=1000, Success Rate: 56.0%, Total Flips: 48077, Time: 6.09 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.6, max_tries=1, max_flips=1000, Success Rate: 45.0%, Total Flips: 57987, Time: 6.62 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.7, max_tries=1, max_flips=1000, Success Rate: 35.0%, Total Flips: 67844, Time: 7.18 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.8, max_tries=1, max_flips=1000, Success Rate: 37.0%, Total Flips: 67132, Time: 7.22 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.9, max_tries=1, max_flips=1000, Success Rate: 36.0%, Total Flips: 67161, Time: 7.25 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.0, max_tries=1, max_flips=1000, Success Rate: 25.0%, Total Flips: 77000, Time: 7.66 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.1, max_tries=1, max_flips=1000, Success Rate: 14.0%, Total Flips: 87364, Time: 8.37 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.2, max_tries=1, max_flips=1000, Success Rate: 17.0%, Total Flips: 84082, Time: 8.15 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.3, max_tries=1, max_flips=1000, Success Rate: 18.0%, Total Flips: 84090, Time: 8.29 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.4, max_tries=1, max_flips=1000, Success Rate: 17.0%, Total Flips: 84998, Time: 8.36 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.5, max_tries=1, max_flips=1000, Success Rate: 10.0%, Total Flips: 90742, Time: 9.41 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.6, max_tries=1, max_flips=1000, Success Rate: 2.0%, Total Flips: 98840, Time: 9.96 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.7, max_tries=1, max_flips=1000, Success Rate: 5.0%, Total Flips: 95319, Time: 9.93 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.8, max_tries=1, max_flips=1000, Success Rate: 6.0%, Total Flips: 95118, Time: 10.08 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.9, max_tries=1, max_flips=1000, Success Rate: 4.0%, Total Flips: 96523, Time: 10.05 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=5.0, max_tries=1, max_flips=1000, Success Rate: 0.0%, Total Flips: 100000, Time: 10.47 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=5.1, max_tries=1, max_flips=1000, Success Rate: 2.0%, Total Flips: 98411, Time: 10.32 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=5.2, max_tries=1, max_flips=1000, Success Rate: 0.0%, Total Flips: 100000, Time: 10.41 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=5.3, max_tries=1, max_flips=1000, Success Rate: 1.0%, Total Flips: 99187, Time: 10.45 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=5.4, max_tries=1, max_flips=1000, Success Rate: 0.0%, Total Flips: 100000, Time: 10.67 seconds

#################### Max Tries = 3 ####################

#################### Max Flips = 50.0 ####################
